//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 10-16-2018
//--  Time: 15:54
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: -10.0(C), 	Resistance 1: 9300.0 Ohms 
//--    Temperature2: 20.0(C), 	Resistance 2: 2500.0 Ohms 
//--    Temperature3: 80.0(C), 	Resistance 3: 335.0 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
204	138.83	1388 	0.996
205	138.48	1385 	1.001
206	138.13	1381 	1.006
207	137.79	1378 	1.011
208	137.45	1374 	1.016
209	137.10	1371 	1.021
210	136.76	1368 	1.025
211	136.42	1364 	1.030
212	136.09	1361 	1.035
213	135.75	1358 	1.040
214	135.42	1354 	1.045
215	135.08	1351 	1.050
216	134.75	1348 	1.055
217	134.42	1344 	1.060
218	134.09	1341 	1.064
219	133.77	1338 	1.069
220	133.44	1334 	1.074
221	133.12	1331 	1.079
222	132.79	1328 	1.084
223	132.47	1325 	1.089
224	132.15	1322 	1.094
225	131.83	1318 	1.099
226	131.52	1315 	1.104
227	131.20	1312 	1.108
228	130.89	1309 	1.113
229	130.57	1306 	1.118
230	130.26	1303 	1.123
231	129.95	1299 	1.128
232	129.64	1296 	1.133
233	129.33	1293 	1.138
234	129.02	1290 	1.143
235	128.72	1287 	1.147
236	128.41	1284 	1.152
237	128.11	1281 	1.157
238	127.81	1278 	1.162
239	127.51	1275 	1.167
240	127.21	1272 	1.172
241	126.91	1269 	1.177
242	126.61	1266 	1.182
243	126.31	1263 	1.187
244	126.02	1260 	1.191
245	125.72	1257 	1.196
246	125.43	1254 	1.201
247	125.14	1251 	1.206
248	124.85	1248 	1.211
249	124.56	1246 	1.216
250	124.27	1243 	1.221
251	123.98	1240 	1.226
252	123.69	1237 	1.230
253	123.41	1234 	1.235
254	123.12	1231 	1.240
255	122.84	1228 	1.245
256	122.55	1226 	1.250
257	122.27	1223 	1.255
258	121.99	1220 	1.260
259	121.71	1217 	1.265
260	121.43	1214 	1.270
261	121.15	1212 	1.274
262	120.88	1209 	1.279
263	120.60	1206 	1.284
264	120.33	1203 	1.289
265	120.05	1201 	1.294
266	119.78	1198 	1.299
267	119.51	1195 	1.304
268	119.23	1192 	1.309
269	118.96	1190 	1.313
270	118.69	1187 	1.318
271	118.42	1184 	1.323
272	118.16	1182 	1.328
273	117.89	1179 	1.333
274	117.62	1176 	1.338
275	117.36	1174 	1.343
276	117.09	1171 	1.348
277	116.83	1168 	1.353
278	116.57	1166 	1.357
279	116.30	1163 	1.362
280	116.04	1160 	1.367
281	115.78	1158 	1.372
282	115.52	1155 	1.377
283	115.26	1153 	1.382
284	115.00	1150 	1.387
285	114.75	1147 	1.392
286	114.49	1145 	1.396
287	114.23	1142 	1.401
288	113.98	1140 	1.406
289	113.72	1137 	1.411
290	113.47	1135 	1.416
291	113.22	1132 	1.421
292	112.96	1130 	1.426
293	112.71	1127 	1.431
294	112.46	1125 	1.436
295	112.21	1122 	1.440
296	111.96	1120 	1.445
297	111.71	1117 	1.450
298	111.46	1115 	1.455
299	111.22	1112 	1.460
300	110.97	1110 	1.465
301	110.72	1107 	1.470
302	110.48	1105 	1.475
303	110.23	1102 	1.479
304	109.99	1100 	1.484
305	109.75	1097 	1.489
306	109.50	1095 	1.494
307	109.26	1093 	1.499
308	109.02	1090 	1.504
309	108.78	1088 	1.509
310	108.54	1085 	1.514
311	108.30	1083 	1.519
312	108.06	1081 	1.523
313	107.82	1078 	1.528
314	107.59	1076 	1.533
315	107.35	1073 	1.538
316	107.11	1071 	1.543
317	106.88	1069 	1.548
318	106.64	1066 	1.553
319	106.41	1064 	1.558
320	106.17	1062 	1.563
321	105.94	1059 	1.567
322	105.70	1057 	1.572
323	105.47	1055 	1.577
324	105.24	1052 	1.582
325	105.01	1050 	1.587
326	104.78	1048 	1.592
327	104.55	1045 	1.597
328	104.32	1043 	1.602
329	104.09	1041 	1.606
330	103.86	1039 	1.611
331	103.63	1036 	1.616
332	103.40	1034 	1.621
333	103.18	1032 	1.626
334	102.95	1030 	1.631
335	102.73	1027 	1.636
336	102.50	1025 	1.641
337	102.27	1023 	1.646
338	102.05	1021 	1.650
339	101.83	1018 	1.655
340	101.60	1016 	1.660
341	101.38	1014 	1.665
342	101.16	1012 	1.670
343	100.94	1009 	1.675
344	100.71	1007 	1.680
345	100.49	1005 	1.685
346	100.27	1003 	1.689
347	100.05	1001 	1.694
348	99.83	998 	1.699
349	99.61	996 	1.704
350	99.39	994 	1.709
351	99.18	992 	1.714
352	98.96	990 	1.719
353	98.74	987 	1.724
354	98.52	985 	1.729
355	98.31	983 	1.733
356	98.09	981 	1.738
357	97.88	979 	1.743
358	97.66	977 	1.748
359	97.45	974 	1.753
360	97.23	972 	1.758
361	97.02	970 	1.763
362	96.80	968 	1.768
363	96.59	966 	1.772
364	96.38	964 	1.777
365	96.17	962 	1.782
366	95.95	960 	1.787
367	95.74	957 	1.792
368	95.53	955 	1.797
369	95.32	953 	1.802
370	95.11	951 	1.807
371	94.90	949 	1.812
372	94.69	947 	1.816
373	94.48	945 	1.821
374	94.27	943 	1.826
375	94.07	941 	1.831
376	93.86	939 	1.836
377	93.65	937 	1.841
378	93.44	934 	1.846
379	93.24	932 	1.851
380	93.03	930 	1.855
381	92.82	928 	1.860
382	92.62	926 	1.865
383	92.41	924 	1.870
384	92.21	922 	1.875
385	92.00	920 	1.880
386	91.80	918 	1.885
387	91.60	916 	1.890
388	91.39	914 	1.895
389	91.19	912 	1.899
390	90.99	910 	1.904
391	90.78	908 	1.909
392	90.58	906 	1.914
393	90.38	904 	1.919
394	90.18	902 	1.924
395	89.98	900 	1.929
396	89.77	898 	1.934
397	89.57	896 	1.938
398	89.37	894 	1.943
399	89.17	892 	1.948
400	88.97	890 	1.953
401	88.77	888 	1.958
402	88.58	886 	1.963
403	88.38	884 	1.968
404	88.18	882 	1.973
405	87.98	880 	1.978
406	87.78	878 	1.982
407	87.58	876 	1.987
408	87.39	874 	1.992
409	87.19	872 	1.997
410	86.99	870 	2.002
411	86.80	868 	2.007
412	86.60	866 	2.012
413	86.41	864 	2.017
414	86.21	862 	2.021
415	86.01	860 	2.026
416	85.82	858 	2.031
417	85.62	856 	2.036
418	85.43	854 	2.041
419	85.24	852 	2.046
420	85.04	850 	2.051
421	84.85	848 	2.056
422	84.66	847 	2.061
423	84.46	845 	2.065
424	84.27	843 	2.070
425	84.08	841 	2.075
426	83.88	839 	2.080
427	83.69	837 	2.085
428	83.50	835 	2.090
429	83.31	833 	2.095
430	83.12	831 	2.100
431	82.93	829 	2.104
432	82.74	827 	2.109
433	82.55	825 	2.114
434	82.35	824 	2.119
435	82.16	822 	2.124
436	81.97	820 	2.129
437	81.78	818 	2.134
438	81.60	816 	2.139
439	81.41	814 	2.144
440	81.22	812 	2.148
441	81.03	810 	2.153
442	80.84	808 	2.158
443	80.65	807 	2.163
444	80.46	805 	2.168
445	80.28	803 	2.173
446	80.09	801 	2.178
447	79.90	799 	2.183
448	79.71	797 	2.188
449	79.53	795 	2.192
450	79.34	793 	2.197
451	79.15	792 	2.202
452	78.97	790 	2.207
453	78.78	788 	2.212
454	78.59	786 	2.217
455	78.41	784 	2.222
456	78.22	782 	2.227
457	78.04	780 	2.231
458	77.85	779 	2.236
459	77.67	777 	2.241
460	77.48	775 	2.246
461	77.30	773 	2.251
462	77.11	771 	2.256
463	76.93	769 	2.261
464	76.74	767 	2.266
465	76.56	766 	2.271
466	76.38	764 	2.275
467	76.19	762 	2.280
468	76.01	760 	2.285
469	75.83	758 	2.290
470	75.64	756 	2.295
471	75.46	755 	2.300
472	75.28	753 	2.305
473	75.10	751 	2.310
474	74.91	749 	2.314
475	74.73	747 	2.319
476	74.55	745 	2.324
477	74.37	744 	2.329
478	74.19	742 	2.334
479	74.00	740 	2.339
480	73.82	738 	2.344
481	73.64	736 	2.349
482	73.46	735 	2.354
483	73.28	733 	2.358
484	73.10	731 	2.363
485	72.92	729 	2.368
486	72.74	727 	2.373
487	72.56	726 	2.378
488	72.38	724 	2.383
489	72.20	722 	2.388
490	72.02	720 	2.393
491	71.84	718 	2.397
492	71.66	717 	2.402
493	71.48	715 	2.407
494	71.30	713 	2.412
495	71.12	711 	2.417
496	70.94	709 	2.422
497	70.76	708 	2.427
498	70.58	706 	2.432
499	70.40	704 	2.437
500	70.23	702 	2.441
501	70.05	700 	2.446
502	69.87	699 	2.451
503	69.69	697 	2.456
504	69.51	695 	2.461
505	69.34	693 	2.466
506	69.16	692 	2.471
507	68.98	690 	2.476
508	68.80	688 	2.480
509	68.62	686 	2.485
510	68.45	684 	2.490
511	68.27	683 	2.495
512	68.09	681 	2.500
513	67.92	679 	2.505
514	67.74	677 	2.510
515	67.56	676 	2.515
516	67.39	674 	2.520
517	67.21	672 	2.524
518	67.03	670 	2.529
519	66.86	669 	2.534
520	66.68	667 	2.539
521	66.50	665 	2.544
522	66.33	663 	2.549
523	66.15	662 	2.554
524	65.97	660 	2.559
525	65.80	658 	2.563
526	65.62	656 	2.568
527	65.45	654 	2.573
528	65.27	653 	2.578
529	65.10	651 	2.583
530	64.92	649 	2.588
531	64.75	647 	2.593
532	64.57	646 	2.598
533	64.40	644 	2.603
534	64.22	642 	2.607
535	64.04	640 	2.612
536	63.87	639 	2.617
537	63.70	637 	2.622
538	63.52	635 	2.627
539	63.35	633 	2.632
540	63.17	632 	2.637
541	63.00	630 	2.642
542	62.82	628 	2.646
543	62.65	626 	2.651
544	62.47	625 	2.656
545	62.30	623 	2.661
546	62.12	621 	2.666
547	61.95	619 	2.671
548	61.78	618 	2.676
549	61.60	616 	2.681
550	61.43	614 	2.686
551	61.25	613 	2.690
552	61.08	611 	2.695
553	60.91	609 	2.700
554	60.73	607 	2.705
555	60.56	606 	2.710
556	60.38	604 	2.715
557	60.21	602 	2.720
558	60.04	600 	2.725
559	59.86	599 	2.729
560	59.69	597 	2.734
561	59.52	595 	2.739
562	59.34	593 	2.744
563	59.17	592 	2.749
564	58.99	590 	2.754
565	58.82	588 	2.759
566	58.65	586 	2.764
567	58.47	585 	2.769
568	58.30	583 	2.773
569	58.13	581 	2.778
570	57.95	580 	2.783
571	57.78	578 	2.788
572	57.61	576 	2.793
573	57.43	574 	2.798
574	57.26	573 	2.803
575	57.09	571 	2.808
576	56.92	569 	2.813
577	56.74	567 	2.817
578	56.57	566 	2.822
579	56.40	564 	2.827
580	56.22	562 	2.832
581	56.05	560 	2.837
582	55.88	559 	2.842
583	55.70	557 	2.847
584	55.53	555 	2.852
585	55.36	554 	2.856
586	55.18	552 	2.861
587	55.01	550 	2.866
588	54.84	548 	2.871
589	54.67	547 	2.876
590	54.49	545 	2.881
591	54.32	543 	2.886
592	54.15	541 	2.891
593	53.97	540 	2.896
594	53.80	538 	2.900
595	53.63	536 	2.905
596	53.45	535 	2.910
597	53.28	533 	2.915
598	53.11	531 	2.920
599	52.94	529 	2.925
600	52.76	528 	2.930
601	52.59	526 	2.935
602	52.42	524 	2.939
603	52.24	522 	2.944
604	52.07	521 	2.949
605	51.90	519 	2.954
606	51.72	517 	2.959
607	51.55	515 	2.964
608	51.38	514 	2.969
609	51.20	512 	2.974
610	51.03	510 	2.979
611	50.86	509 	2.983
612	50.68	507 	2.988
613	50.51	505 	2.993
614	50.34	503 	2.998
615	50.16	502 	3.003
616	49.99	500 	3.008
617	49.82	498 	3.013
618	49.64	496 	3.018
619	49.47	495 	3.022
620	49.29	493 	3.027
621	49.12	491 	3.032
622	48.95	489 	3.037
623	48.77	488 	3.042
624	48.60	486 	3.047
625	48.43	484 	3.052
626	48.25	483 	3.057
627	48.08	481 	3.062
628	47.90	479 	3.066
629	47.73	477 	3.071
